Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Forest: Alder/Maple Group,19,19,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3415,,,,,
,,,,,Forest: Alder/Maple Group,19,19,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2897,,,,,
,,,,,Forest: Alder/Maple Group,19,19,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1395,,,,,
,,,,,Forest: Alder/Maple Group,20,20,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0773,,,,,
,,,,,Forest: Alder/Maple Group,20,20,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1501,,,,,
,,,,,Forest: Alder/Maple Group,20,20,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3418,,,,,
,,,,,Forest: Alder/Maple Group,20,20,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2873,,,,,
,,,,,Forest: Alder/Maple Group,20,20,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1435,,,,,
,,,,,Forest: Alder/Maple Group,21,21,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0769,,,,,
,,,,,Forest: Alder/Maple Group,21,21,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1487,,,,,
,,,,,Forest: Alder/Maple Group,21,21,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3433,,,,,
,,,,,Forest: Alder/Maple Group,21,21,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2844,,,,,
,,,,,Forest: Alder/Maple Group,21,21,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1468,,,,,
,,,,,Forest: Alder/Maple Group,22,22,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0764,,,,,
,,,,,Forest: Alder/Maple Group,22,22,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1474,,,,,
,,,,,Forest: Alder/Maple Group,22,22,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3454,,,,,
,,,,,Forest: Alder/Maple Group,22,22,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2814,,,,,
,,,,,Forest: Alder/Maple Group,22,22,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1494,,,,,
,,,,,Forest: Alder/Maple Group,23,23,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0757,,,,,
,,,,,Forest: Alder/Maple Group,23,23,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1464,,,,,
,,,,,Forest: Alder/Maple Group,23,23,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3485,,,,,
,,,,,Forest: Alder/Maple Group,23,23,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2779,,,,,
,,,,,Forest: Alder/Maple Group,23,23,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1515,,,,,
,,,,,Forest: Alder/Maple Group,24,24,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0750,,,,,
,,,,,Forest: Alder/Maple Group,24,24,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1456,,,,,
,,,,,Forest: Alder/Maple Group,24,24,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3519,,,,,
,,,,,Forest: Alder/Maple Group,24,24,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2742,,,,,
,,,,,Forest: Alder/Maple Group,24,24,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1532,,,,,
,,,,,Forest: Alder/Maple Group,25,25,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0743,,,,,
,,,,,Forest: Alder/Maple Group,25,25,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1450,,,,,
,,,,,Forest: Alder/Maple Group,25,25,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3560,,,,,
,,,,,Forest: Alder/Maple Group,25,25,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2701,,,,,
,,,,,Forest: Alder/Maple Group,25,25,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1547,,,,,
,,,,,Forest: Alder/Maple Group,26,26,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0735,,,,,
,,,,,Forest: Alder/Maple Group,26,26,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1445,,,,,
,,,,,Forest: Alder/Maple Group,26,26,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3603,,,,,
,,,,,Forest: Alder/Maple Group,26,26,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2658,,,,,
,,,,,Forest: Alder/Maple Group,26,26,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1558,,,,,
,,,,,Forest: Alder/Maple Group,27,27,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0727,,,,,
,,,,,Forest: Alder/Maple Group,27,27,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1442,,,,,
,,,,,Forest: Alder/Maple Group,27,27,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3648,,,,,
,,,,,Forest: Alder/Maple Group,27,27,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2616,,,,,
,,,,,Forest: Alder/Maple Group,27,27,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1568,,,,,
,,,,,Forest: Alder/Maple Group,28,28,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0719,,,,,
,,,,,Forest: Alder/Maple Group,28,28,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1440,,,,,
,,,,,Forest: Alder/Maple Group,28,28,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3697,,,,,
,,,,,Forest: Alder/Maple Group,28,28,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2568,,,,,
,,,,,Forest: Alder/Maple Group,28,28,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1576,,,,,
,,,,,Forest: Alder/Maple Group,29,29,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0711,,,,,
,,,,,Forest: Alder/Maple Group,29,29,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1438,,,,,
,,,,,Forest: Alder/Maple Group,29,29,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3746,,,,,
,,,,,Forest: Alder/Maple Group,29,29,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2522,,,,,
,,,,,Forest: Alder/Maple Group,29,29,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1583,,,,,
,,,,,Forest: Alder/Maple Group,30,30,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0703,,,,,
,,,,,Forest: Alder/Maple Group,30,30,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1438,,,,,
,,,,,Forest: Alder/Maple Group,30,30,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3795,,,,,
,,,,,Forest: Alder/Maple Group,30,30,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2475,,,,,
,,,,,Forest: Alder/Maple Group,30,30,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1588,,,,,
,,,,,Forest: Alder/Maple Group,31,31,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0696,,,,,
,,,,,Forest: Alder/Maple Group,31,31,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1439,,,,,
,,,,,Forest: Alder/Maple Group,31,31,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3848,,,,,
,,,,,Forest: Alder/Maple Group,31,31,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2424,,,,,
,,,,,Forest: Alder/Maple Group,31,31,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1593,,,,,
,,,,,Forest: Alder/Maple Group,32,32,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0688,,,,,
,,,,,Forest: Alder/Maple Group,32,32,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1439,,,,,
,,,,,Forest: Alder/Maple Group,32,32,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3899,,,,,
,,,,,Forest: Alder/Maple Group,32,32,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2377,,,,,
,,,,,Forest: Alder/Maple Group,32,32,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1597,,,,,
,,,,,Forest: Alder/Maple Group,33,33,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0681,,,,,
,,,,,Forest: Alder/Maple Group,33,33,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1441,,,,,
,,,,,Forest: Alder/Maple Group,33,33,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3951,,,,,
,,,,,Forest: Alder/Maple Group,33,33,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2328,,,,,
,,,,,Forest: Alder/Maple Group,33,33,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1600,,,,,
,,,,,Forest: Alder/Maple Group,34,34,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0673,,,,,
,,,,,Forest: Alder/Maple Group,34,34,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1443,,,,,
,,,,,Forest: Alder/Maple Group,34,34,Net Growth Forest: Atmosphere -> Foliage [Type],,0.4004,,,,,
,,,,,Forest: Alder/Maple Group,34,34,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2277,,,,,
,,,,,Forest: Alder/Maple Group,34,34,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1603,,,,,
,,,,,Forest: Alder/Maple Group,35,35,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0667,,,,,
,,,,,Forest: Alder/Maple Group,35,35,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1445,,,,,
,,,,,Forest: Alder/Maple Group,35,35,Net Growth Forest: Atmosphere -> Foliage [Type],,0.4055,,,,,
,,,,,Forest: Alder/Maple Group,35,35,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2228,,,,,
,,,,,Forest: Alder/Maple Group,35,35,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1605,,,,,
,,,,,Forest: Alder/Maple Group,36,36,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0660,,,,,
,,,,,Forest: Alder/Maple Group,36,36,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1448,,,,,
,,,,,Forest: Alder/Maple Group,36,36,Net Growth Forest: Atmosphere -> Foliage [Type],,0.4106,,,,,
,,,,,Forest: Alder/Maple Group,36,36,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2178,,,,,
,,,,,Forest: Alder/Maple Group,36,36,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1607,,,,,
,,,,,Forest: Alder/Maple Group,37,37,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0654,,,,,
,,,,,Forest: Alder/Maple Group,37,37,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1451,,,,,
,,,,,Forest: Alder/Maple Group,37,37,Net Growth Forest: Atmosphere -> Foliage [Type],,0.4157,,,,,
,,,,,Forest: Alder/Maple Group,37,37,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2129,,,,,
,,,,,Forest: Alder/Maple Group,37,37,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1609,,,,,
,,,,,Forest: Alder/Maple Group,38,38,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0647,,,,,
,,,,,Forest: Alder/Maple Group,38,38,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1455,,,,,
,,,,,Forest: Alder/Maple Group,38,38,Net Growth Forest: Atmosphere -> Foliage [Type],,0.4208,,,,,
,,,,,Forest: Alder/Maple Group,38,38,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2080,,,,,
,,,,,Forest: Alder/Maple Group,38,38,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1610,,,,,
,,,,,Forest: Alder/Maple Group,39,39,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0642,,,,,
,,,,,Forest: Alder/Maple Group,39,39,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.1458,,,,,
