Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Water:All,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.3205,,,,,
,,,,,Water:All,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.3205,,,,,
,,,,,Water:All,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.15,,,,,
,,,,,Water:All,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
,,,,,Water:All,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Water:All,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Water:All,,,Decay: AG Fast -> AG Slow [Type],,0.0435,,,,,
,,,,,Water:All,,,Decay: AG Medium -> AG Slow [Type],,0.0113,,,,,
,,,,,Water:All,,,Decay: AG Very Fast -> AG Slow [Type],,0.1479,,,,,
,,,,,Water:All,,,Decay: BG Fast -> BG Slow [Type],,0.0435,,,,,
,,,,,Water:All,,,Decay: BG Very Fast -> BG Slow [Type],,0.1514,,,,,
,,,,,Water:All,,,Decay: Snag Branch -> AG Slow [Type],,0.0217,,,,,
,,,,,Water:All,,,Decay: Snag Stem -> AG Slow [Type],,0.0057,,,,,
,,,,,Water:All,,,Emission: AG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Water:All,,,Emission: AG Medium -> Atmosphere [Type],,0.0553,,,,,
,,,,,Water:All,,,Emission: AG Slow -> Atmosphere [Type],,0.0338,,,,,
,,,,,Water:All,,,Emission: AG Very Fast -> Atmosphere [Type],,0.6516,,,,,
,,,,,Water:All,,,Emission: BG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Water:All,,,Emission: BG Very Fast -> Atmosphere [Type],,0.7393,,,,,
,,,,,Water:All,,,Emission: Snag Branch -> Atmosphere [Type],,0.1061,,,,,
,,,,,Water:All,,,Emission: Snag Stem -> Atmosphere [Type],,0.0276,,,,,
,,,,,Water:All,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Water:All,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Water:All,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Wetland:Estuarine Emergent,,,AG Very Fast ->,,0.6045,,,,,
,,,,,Wetland:Estuarine Emergent,,,BG Slow ->,,0.0327,,,,,
,,,,,Wetland:Estuarine Emergent,,,BG Very Fast ->,,0.5587,,,,,
,,,,,Wetland:Estuarine Emergent,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.01,,,,,
,,,,,Wetland:Estuarine Emergent,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.01,,,,,
